Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
f40f1794-5a1a-4901-b0aa-16aa884b0b96,"2020-07-23, 05:53:39 PM",klee0201,DescribeConfigurationRecorders,,,,us-west-2,,24.19.49.168
b78316af-71fb-4297-926e-52fc2e0c2283,"2020-07-23, 05:52:48 PM",klee0201,DescribeConfigurationRecorders,,,,us-west-2,,24.19.49.168
cd977e53-3c3a-430f-8418-975930fc67c9,"2020-07-23, 05:52:48 PM",klee0201,LookupEvents,,,,us-west-2,,24.19.49.168
f1e1518f-510e-4d16-8eab-a727071db6f2,"2020-07-23, 05:52:48 PM",klee0201,DescribeConfigurationRecorderStatus,,,,us-west-2,,24.19.49.168
3422ce60-e235-46a4-b02b-3efe7b22c978,"2020-07-23, 05:52:39 PM",klee0201,DescribeConfigurationRecorderStatus,,,,us-west-2,,24.19.49.168
5aa88b55-77eb-463a-b4bd-8e673aa6f406,"2020-07-23, 05:52:39 PM",klee0201,DescribeConfigurationRecorders,,,,us-west-2,,24.19.49.168
28cc6767-dc77-485b-8f5a-d175da040d50,"2020-07-23, 05:52:38 PM",klee0201,LookupEvents,,,,us-west-2,,24.19.49.168
2bfad0ef-061d-4830-8424-e4f04f94d275,"2020-07-23, 05:52:12 PM",klee0201,LookupEvents,,,,us-west-2,,24.19.49.168
2d481385-149f-43ee-a092-e08f4f9eefd2,"2020-07-23, 05:52:12 PM",klee0201,DescribeConfigurationRecorders,,,,us-west-2,,24.19.49.168
cead73c9-c014-455c-902b-bde7f7647012,"2020-07-23, 05:52:12 PM",klee0201,DescribeConfigurationRecorderStatus,,,,us-west-2,,24.19.49.168
0938103a-2419-40cd-b196-f559888458c0,"2020-07-23, 05:52:10 PM",klee0201,DescribeConfigurationRecorders,,,,us-west-2,,24.19.49.168
1be72935-6421-4228-915f-5fc9cd56beaa,"2020-07-23, 05:52:10 PM",klee0201,LookupEvents,,,,us-west-2,,24.19.49.168
5a6a48a6-8489-46e6-a6cd-a6f5ce73d4cc,"2020-07-23, 05:52:10 PM",klee0201,DescribeConfigurationRecorderStatus,,,,us-west-2,,24.19.49.168
45e837f9-54d9-46a9-aeda-7f903b2c6530,"2020-07-23, 05:52:01 PM",klee0201,DescribeConfigurationRecorders,,,,us-west-2,,24.19.49.168
57f7c8cf-2d80-48b3-b10d-3f5bd5d59996,"2020-07-23, 05:52:01 PM",klee0201,DescribeConfigurationRecorderStatus,,,,us-west-2,,24.19.49.168
b518e296-0c7b-4730-9026-6fbf79ab849b,"2020-07-23, 05:52:01 PM",klee0201,LookupEvents,,,,us-west-2,,24.19.49.168
cd0ccd49-8251-4a34-89a4-4b255dd73653,"2020-07-23, 05:52:01 PM",klee0201,DescribeConfigurationRecorders,,,,us-west-2,,24.19.49.168
e695042c-dfd6-43f4-a42e-3e0063738a07,"2020-07-23, 05:52:01 PM",klee0201,DescribeConfigurationRecorderStatus,,,,us-west-2,,24.19.49.168
11bbe57d-50e1-4111-a590-aeab08aa0e0a,"2020-07-23, 05:52:00 PM",klee0201,LookupEvents,,,,us-west-2,,24.19.49.168
02555cec-aff6-4ec6-875b-74afdfae3307,"2020-07-23, 05:51:56 PM",klee0201,DescribeConfigurationRecorderStatus,,,,us-west-2,,24.19.49.168
42ac1a11-1a24-4c5d-a93a-b65e3272540a,"2020-07-23, 05:51:56 PM",klee0201,DescribeConfigurationRecorders,,,,us-west-2,,24.19.49.168
e0102b7a-c602-4df4-83b2-3025cbd3e5ac,"2020-07-23, 05:51:55 PM",klee0201,LookupEvents,,,,us-west-2,,24.19.49.168
